id,Order number,Date,Plant family,Placement,Phone,Color,Cost
592,2178,07/30/18,Lamiaceae,79567 Dovetail Place,657-538-3588,Indigo,$5.96 
593,2698,09/29/18,Lamiaceae,8885 Mockingbird Junction,913-135-0697,Pink,$6.12 
594,1233,07/28/18,Rhizocarpaceae,4716 Anniversary Terrace,459-986-7321,Violet,$6.02 
595,1412,09/21/18,Euphorbiaceae,85005 Elka Plaza,585-550-8911,Indigo,$7.52 
596,1389,09/22/18,Onagraceae,3202 Declaration Place,579-544-7585,Green,$5.34 
597,2853,07/04/18,Rubiaceae,3 Bayside Junction,161-654-2870,Fuscia,$5.30 
598,1996,08/11/18,Caryophyllaceae,80 Troy Crossing,871-842-5213,Orange,$7.93 
599,1978,09/11/18,Oxalidaceae,00 Fulton Park,849-698-1212,Khaki,$5.20 
600,2682,10/04/18,Polygonaceae,00 Swallow Center,469-695-9406,Pink,$6.94 
601,1921,09/04/18,Gentianaceae,7 Mariners Cove Hill,303-559-8863,Turquoise,$8.84 
602,2219,08/01/18,Lecanoraceae,96519 Glendale Avenue,970-377-6088,Mauv,$7.91 
603,1422,07/05/18,Amaranthaceae,055 Walton Drive,557-515-7665,Crimson,$8.68 
604,1428,10/23/18,Poaceae,621 Fordem Way,464-998-7736,Green,$7.48 
605,2805,05/11/18,Clusiaceae,58 Washington Road,512-948-4881,Teal,$8.48 
606,1227,07/10/18,Bignoniaceae,08 Artisan Plaza,253-316-2410,Green,$9.49 
607,2823,08/14/18,Polygonaceae,12176 Waxwing Terrace,889-354-7410,Violet,$7.64 
608,1133,05/05/18,Graphidaceae,852 Trailsway Street,993-243-8186,Green,$7.26 
609,2393,05/12/18,Poaceae,7 Longview Court,487-402-0963,Yellow,$6.84 
610,2544,10/14/18,Zingiberaceae,92 Namekagon Center,625-459-9453,Red,$6.72 
611,1004,06/05/18,Apiaceae,58543 Garrison Crossing,914-523-8936,Fuscia,$5.35 
612,1061,09/26/18,Pottiaceae,322 Farragut Way,697-543-5333,Mauv,$8.05 
613,2410,06/27/18,Acanthaceae,9729 Heath Court,473-340-7112,Blue,$7.98 
614,1858,09/07/18,Iridaceae,661 Kensington Street,363-863-5447,Fuscia,$5.94 
615,1619,07/06/18,Fabaceae,3 Prairie Rose Park,242-893-4689,Mauv,$9.32 
616,2379,06/15/18,Euphorbiaceae,914 Haas Junction,496-708-7602,Puce,$9.14 
617,1791,10/11/18,Scrophulariaceae,125 Clarendon Park,289-620-9964,Violet,$6.78 
618,2066,10/31/18,Liliaceae,3064 Mallory Center,626-718-8009,Pink,$8.95 
619,2963,06/19/18,Malvaceae,6 Straubel Way,214-200-6507,Green,$6.25 
620,1077,10/07/18,Primulaceae,46599 Division Center,223-826-7836,Purple,$7.39 
621,1879,05/15/18,Poaceae,60 Leroy Place,970-217-4006,Aquamarine,$7.51 
622,1897,10/06/18,Asteraceae,85556 Heath Street,489-290-5792,Purple,$5.76 
623,2975,09/08/18,Fabaceae,2 Dorton Plaza,994-543-5160,Fuscia,$9.35 
624,2576,05/31/18,Scrophulariaceae,382 Vernon Junction,713-864-4509,Blue,$9.39 
625,2142,05/31/18,Asteraceae,48592 Commercial Street,988-616-8837,Turquoise,$5.67 
626,2164,07/06/18,Pertusariaceae,44173 Northfield Trail,294-419-2116,Teal,$7.17 
627,1542,05/12/18,Asteraceae,1665 Hovde Place,942-629-5912,Turquoise,$8.50 
628,2682,08/06/18,Ranunculaceae,16069 Golf View Park,493-590-1726,Indigo,$5.78 
629,2497,05/17/18,Asteraceae,622 Reindahl Crossing,311-263-2537,Turquoise,$9.87 
630,1133,06/15/18,Scrophulariaceae,5325 Buhler Circle,513-735-6876,Fuscia,$6.72 
631,2185,10/22/18,Arecaceae,770 Hagan Drive,321-136-1792,Blue,$6.24 
632,2213,06/27/18,Physciaceae,70687 Cascade Drive,502-616-8836,Pink,$5.20 
633,2400,07/31/18,Boraginaceae,567 Talmadge Hill,107-161-4356,Green,$7.92 
634,1742,09/08/18,Crassulaceae,7 Eggendart Pass,917-498-6094,Maroon,$6.32 
635,1364,06/18/18,Tropaeolaceae,577 Basil Trail,928-229-6309,Teal,$6.37 
636,1950,09/13/18,Euphorbiaceae,6660 Corscot Avenue,264-967-8517,Turquoise,$9.50 
637,1691,06/23/18,Rosaceae,3674 Pennsylvania Drive,358-291-0821,Blue,$5.57 
638,2311,10/17/18,Asteraceae,7130 Loomis Hill,608-568-0802,Mauv,$9.68 
639,1107,06/01/18,Fabaceae,1047 Coleman Lane,292-898-1571,Puce,$8.60 
640,2902,10/16/18,Crassulaceae,523 Pierstorff Court,411-897-4902,Puce,$5.64 
641,2301,09/15/18,Rosaceae,1 Blue Bill Park Avenue,463-894-2242,Teal,$10.00 
642,2639,05/17/18,Saxifragaceae,4303 Independence Court,752-545-3816,Orange,$9.87 
643,2841,09/05/18,Cupressaceae,3 Bobwhite Way,546-556-8026,Yellow,$9.57 
644,2761,05/08/18,Asteraceae,81472 Schmedeman Road,542-947-5316,Puce,$6.45 
645,1484,05/21/18,Rosaceae,823 Schlimgen Junction,921-349-0345,Teal,$8.00 
646,2587,08/30/18,Ericaceae,423 Briar Crest Pass,955-595-6303,Indigo,$5.11 
647,1807,07/15/18,Violaceae,0 Eagle Crest Road,963-235-6508,Purple,$9.11 
648,1230,07/04/18,Boraginaceae,80 Weeping Birch Terrace,204-703-1171,Pink,$8.41 
649,2603,07/18/18,Fabaceae,49 Westerfield Parkway,652-243-6538,Orange,$7.70 
650,2815,10/04/18,Polygonaceae,0232 Hoard Road,419-498-6390,Mauv,$7.81 
651,2570,08/28/18,Flacourtiaceae,43 Derek Point,293-214-9673,Blue,$6.52 
652,2440,08/08/18,Arecaceae,8 Jenifer Junction,747-955-1574,Green,$8.06 
653,2770,10/20/18,Asteraceae,6 Hooker Court,789-896-8065,Aquamarine,$7.57 
654,1601,06/17/18,Fabaceae,62882 Huxley Park,259-940-0342,Pink,$8.78 
655,2488,06/09/18,Encalyptaceae,5 Acker Street,944-497-3371,Green,$6.29 
656,2314,05/24/18,Rosaceae,8487 Holy Cross Alley,513-994-9679,Aquamarine,$8.43 
657,2519,09/24/18,Rubiaceae,6105 Schiller Alley,845-519-0475,Teal,$6.05 
658,2090,10/16/18,Lobariaceae,3705 Division Drive,514-354-4063,Red,$6.80 
659,2408,05/08/18,Crassulaceae,914 Farwell Crossing,656-246-6690,Purple,$5.84 
660,1313,06/26/18,Asteraceae,537 Acker Plaza,807-766-0771,Red,$7.72 
661,2756,07/24/18,Scrophulariaceae,781 Washington Center,252-519-5253,Khaki,$9.95 
662,2821,07/20/18,Ulmaceae,16680 Magdeline Hill,664-130-9233,Blue,$6.25 
663,1807,08/04/18,Portulacaceae,119 Dahle Lane,240-915-0973,Orange,$9.35 
664,1217,07/21/18,Dryopteridaceae,77 Oxford Drive,601-142-7393,Teal,$5.59 
665,2528,06/13/18,Cupressaceae,94 Anhalt Alley,250-585-6477,Teal,$6.79 
666,2740,07/27/18,Verrucariaceae,52 Carpenter Center,756-444-5650,Teal,$6.89 
667,1696,05/15/18,Sapindaceae,423 Florence Place,476-154-3902,Indigo,$9.62 
668,2703,07/22/18,Orchidaceae,4014 Thierer Lane,741-710-2707,Indigo,$5.43 
669,1755,07/27/18,Poaceae,739 Arapahoe Way,986-158-1020,Violet,$9.30 
670,2821,07/03/18,Chenopodiaceae,6 Graedel Road,537-775-8338,Puce,$6.68 
671,1580,06/06/18,Primulaceae,3 Darwin Junction,143-489-0146,Turquoise,$5.88 
672,2441,07/15/18,Leskeaceae,28 Warbler Road,701-941-4375,Blue,$6.89 
673,2637,05/12/18,Rutaceae,2473 Valley Edge Drive,910-950-2932,Teal,$5.32 
674,1248,07/28/18,Pertusariaceae,23 Farmco Crossing,533-406-5922,Purple,$7.47 
675,2122,07/05/18,Asteraceae,32 Roth Point,475-892-9615,Pink,$8.87 
